GENDER,AGE_GRP,JOB_NM,TRAVEL_TERM,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_MOTIVE,TRAVEL_COMPANIONS_NUM,TRAVEL_ID
여,40,사무 종사자,1년,50130,50110,26200,자연 선호(중),자연 선호(약),자연 선호(중),중립,중립,중립,도시 선호(약),도시 선호(약),대전광역시,충남,2인 여행(가족 외),"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",1,g_g011669
남,20,전문가 및 관련 종사자,한달,26350,30200,11590,자연 선호(강),자연 선호(중),자연 선호(중),도시 선호(중),도시 선호(중),자연 선호(중),자연 선호(중),자연 선호(강),광주광역시,전북,3인 이상 여행(가족 외),여행 동반자와의 친밀감 및 유대감 증진,5,g_g004104
여,20,학생,1년,42210,26350,50130,도시 선호(약),도시 선호(약),자연 선호(강),자연 선호(약),자연 선호(약),도시 선호(약),자연 선호(중),중립,경기도,대전,2인 가족 여행,"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",1,g_g005762
여,20,기타,1주일,42830,42150,50110,중립,자연 선호(중),중립,자연 선호(중),도시 선호(약),자연 선호(약),도시 선호(약),도시 선호(강),경기도,전남,2인 가족 여행,SNS 사진 등록 등 과시,1,g_g005170
여,20,학생,한달,50130,26350,42150,도시 선호(약),자연 선호(강),자연 선호(약),도시 선호(약),중립,도시 선호(중),도시 선호(중),도시 선호(약),경기도,대전,나홀로 여행,"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",0,g_g009372
여,40,사무 종사자,1년,42150,50130,26350,자연 선호(강),자연 선호(강),자연 선호(강),자연 선호(강),자연 선호(강),도시 선호(강),자연 선호(강),도시 선호(강),인천광역시,전남,2인 가족 여행,"일상적인 환경 및 역할에서의 탈출, 지루함 탈피",1,g_g002035
여,40,기타,한달,42210,41830,43130,중립,중립,자연 선호(강),도시 선호(약),도시 선호(약),자연 선호(강),중립,중립,경기도,충남,자녀 동반 여행,"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",3,g_g007374
여,40,사무 종사자,한달,42210,43800,50130,자연 선호(강),자연 선호(강),자연 선호(강),중립,중립,자연 선호(강),자연 선호(강),도시 선호(중),세종특별자치시,대전,자녀 동반 여행,"일상적인 환경 및 역할에서의 탈출, 지루함 탈피",2,g_g004259
여,20,학생,한달,26350,46130,30200,자연 선호(약),자연 선호(강),자연 선호(강),자연 선호(강),자연 선호(약),자연 선호(중),도시 선호(약),도시 선호(약),경기도,충남,나홀로 여행,진정한 자아 찾기 또는 자신을 되돌아볼 기회 찾기,0,g_g013010
남,30,사무 종사자,한달,27260,11680,43110,도시 선호(강),도시 선호(강),자연 선호(강),자연 선호(중),자연 선호(강),자연 선호(강),자연 선호(강),자연 선호(강),경기도,충북,나홀로 여행,"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",0,g_g007227
남,50,전문가 및 관련 종사자,한달,30230,44180,43730,자연 선호(강),중립,자연 선호(중),도시 선호(약),도시 선호(약),도시 선호(약),도시 선호(중),도시 선호(중),충청남도,충남,2인 가족 여행,"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",1,g_g003758
남,40,판매 종사자,한달,42210,28710,41210,중립,중립,자연 선호(중),도시 선호(강),도시 선호(강),도시 선호(중),중립,도시 선호(강),서울특별시,충북,자녀 동반 여행,여행 동반자와의 친밀감 및 유대감 증진,3,g_g001755
남,50,사무 종사자,1년,44810,46150,50110,자연 선호(강),자연 선호(강),자연 선호(강),자연 선호(강),자연 선호(강),자연 선호(강),도시 선호(강),자연 선호(강),경기도,충남,자녀 동반 여행,여행 동반자와의 친밀감 및 유대감 증진,4,g_g005913
남,30,사무 종사자,1년,42210,11440,50130,중립,자연 선호(약),자연 선호(약),자연 선호(중),도시 선호(중),도시 선호(약),자연 선호(중),중립,서울특별시,전북,부모 동반 여행,"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",2,g_g004519
남,30,사무 종사자,1년,45110,44180,50110,도시 선호(강),중립,자연 선호(강),중립,도시 선호(강),도시 선호(강),자연 선호(중),자연 선호(중),대전광역시,전북,2인 가족 여행,새로운 경험 추구,1,g_g002235
남,30,사무 종사자,1주일,46710,46130,26350,도시 선호(약),도시 선호(중),자연 선호(중),자연 선호(약),도시 선호(중),도시 선호(약),도시 선호(약),자연 선호(약),광주광역시,전남,2인 여행(가족 외),여행 동반자와의 친밀감 및 유대감 증진,1,g_g007410
여,20,서비스 종사자,한달,50110,26350,28237,중립,도시 선호(약),자연 선호(약),자연 선호(중),도시 선호(약),도시 선호(약),자연 선호(중),중립,대전광역시,세종,자녀 동반 여행,여행 동반자와의 친밀감 및 유대감 증진,2,g_g012316
여,50,판매 종사자,한달,42150,44825,41820,도시 선호(강),중립,도시 선호(중),중립,중립,도시 선호(약),도시 선호(강),자연 선호(중),경상북도,대전,2인 여행(가족 외),"일상적인 환경 및 역할에서의 탈출, 지루함 탈피",1,g_g011519
여,50,전문가 및 관련 종사자,한달,11680,48220,26710,도시 선호(중),자연 선호(약),자연 선호(중),자연 선호(강),자연 선호(중),자연 선호(중),자연 선호(약),자연 선호(중),서울특별시,대전,3인 이상 여행(가족 외),"일상적인 환경 및 역할에서의 탈출, 지루함 탈피",2,g_g001046
여,40,단순노무종사자,한달,26500,11710,46710,도시 선호(중),자연 선호(강),자연 선호(중),자연 선호(강),자연 선호(강),자연 선호(중),자연 선호(강),도시 선호(강),전라북도,대전,2인 가족 여행,SNS 사진 등록 등 과시,1,g_g001708
여,30,전업주부,한달,46130,11680,26440,중립,중립,중립,중립,중립,중립,자연 선호(강),중립,전라북도,전남,자녀 동반 여행,여행 동반자와의 친밀감 및 유대감 증진,2,g_g006227
남,30,사무 종사자,한달,42210,42230,42830,중립,자연 선호(중),자연 선호(약),자연 선호(중),자연 선호(중),자연 선호(중),자연 선호(중),중립,경기도,충북,3인 이상 여행(가족 외),여행 동반자와의 친밀감 및 유대감 증진,2,g_g001156
여,50,사무 종사자,1년,50130,11110,47110,자연 선호(중),자연 선호(중),자연 선호(중),중립,자연 선호(중),자연 선호(중),자연 선호(약),중립,부산광역시,광주,자녀 동반 여행,"역사 탐방, 문화적 경험 등 교육적 동기",3,g_g003960
남,30,전문가 및 관련 종사자,한달,50130,42830,45110,자연 선호(중),자연 선호(중),자연 선호(강),자연 선호(약),자연 선호(중),중립,자연 선호(중),도시 선호(중),경기도,전북,2인 여행(가족 외),여행 동반자와의 친밀감 및 유대감 증진,1,g_g002271
여,30,학생,1년,46110,26350,50130,중립,중립,자연 선호(강),자연 선호(강),자연 선호(중),자연 선호(강),도시 선호(강),도시 선호(중),광주광역시,전남,나홀로 여행,"일상적인 환경 및 역할에서의 탈출, 지루함 탈피",0,g_g011645
남,30,전문가 및 관련 종사자,한달,46130,50130,45110,자연 선호(강),자연 선호(강),도시 선호(중),자연 선호(강),자연 선호(강),자연 선호(약),자연 선호(중),도시 선호(중),전라남도,전남,자녀 동반 여행,"특별한 목적(칠순여행, 신혼여행, 수학여행, 인센티브여행)",4,g_g001343
여,20,학생,한달,45110,46710,26410,도시 선호(약),도시 선호(약),자연 선호(약),중립,자연 선호(중),도시 선호(약),도시 선호(중),중립,광주광역시,전북,나홀로 여행,"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",0,g_g012386
남,50,서비스 종사자,1년,42210,41460,45770,자연 선호(약),자연 선호(중),중립,자연 선호(약),자연 선호(강),자연 선호(약),도시 선호(약),자연 선호(약),경기도,충북,자녀 동반 여행,"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",3,g_g004152
남,50,서비스 종사자,1년,42150,50110,11560,자연 선호(강),자연 선호(강),자연 선호(강),자연 선호(강),자연 선호(강),자연 선호(강),자연 선호(강),자연 선호(강),충청남도,충남,2인 가족 여행,새로운 경험 추구,1,g_g007355
여,30,사무 종사자,1주일,42170,26200,45110,자연 선호(약),자연 선호(약),중립,자연 선호(중),도시 선호(약),중립,도시 선호(중),도시 선호(중),경기도,세종,나홀로 여행,"일상적인 환경 및 역할에서의 탈출, 지루함 탈피",0,g_g006363
남,30,사무 종사자,한달,42110,28110,41360,중립,자연 선호(약),도시 선호(중),도시 선호(중),중립,자연 선호(약),자연 선호(강),자연 선호(강),서울특별시,충남,3대 동반 여행(친척 포함),여행 동반자와의 친밀감 및 유대감 증진,5,g_g003182
여,60,전업주부,1년,42770,31710,28710,자연 선호(강),자연 선호(중),자연 선호(약),중립,도시 선호(중),중립,자연 선호(중),도시 선호(강),경기도,충북,2인 가족 여행,"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",1,g_g001619
남,30,전문가 및 관련 종사자,한달,43800,29140,41480,자연 선호(강),자연 선호(강),중립,자연 선호(강),자연 선호(강),자연 선호(강),중립,자연 선호(강),서울특별시,광주,부모 동반 여행,여행 동반자와의 친밀감 및 유대감 증진,2,g_g001219
남,20,사무 종사자,한달,41360,42830,41830,자연 선호(중),자연 선호(강),도시 선호(약),중립,도시 선호(중),자연 선호(중),자연 선호(강),도시 선호(강),서울특별시,충남,2인 여행(가족 외),"일상적인 환경 및 역할에서의 탈출, 지루함 탈피",1,g_g011454
여,50,전문가 및 관련 종사자,한달,42830,50130,41360,자연 선호(약),중립,중립,중립,자연 선호(약),도시 선호(중),중립,중립,경기도,충남,2인 가족 여행,"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",1,g_g009864
여,20,전문가 및 관련 종사자,1년,47110,11110,26350,중립,자연 선호(약),자연 선호(중),중립,자연 선호(중),중립,자연 선호(약),도시 선호(약),대전광역시,전남,2인 여행(가족 외),새로운 경험 추구,1,g_g006983
여,20,사무 종사자,한달,46710,48310,26710,도시 선호(중),중립,도시 선호(중),도시 선호(중),도시 선호(강),자연 선호(약),도시 선호(중),자연 선호(중),광주광역시,전남,2인 여행(가족 외),"일상적인 환경 및 역할에서의 탈출, 지루함 탈피",1,g_g010256
남,30,전문가 및 관련 종사자,한달,26710,42150,29200,자연 선호(중),자연 선호(중),자연 선호(약),도시 선호(약),자연 선호(약),자연 선호(중),자연 선호(중),도시 선호(중),서울특별시,전북,2인 여행(가족 외),여행 동반자와의 친밀감 및 유대감 증진,1,g_g000611
남,40,사무 종사자,1년,46710,45790,29155,자연 선호(강),자연 선호(중),자연 선호(중),자연 선호(중),자연 선호(중),자연 선호(강),자연 선호(중),자연 선호(중),광주광역시,대전,나홀로 여행,"일상적인 환경 및 역할에서의 탈출, 지루함 탈피",0,g_g012783
여,30,사무 종사자,한달,47930,26320,50130,자연 선호(강),자연 선호(강),도시 선호(중),자연 선호(강),자연 선호(강),자연 선호(강),자연 선호(강),도시 선호(강),경기도,충남,자녀 동반 여행,"역사 탐방, 문화적 경험 등 교육적 동기",3,g_g000397
남,40,사무 종사자,1년,50110,50130,11710,중립,자연 선호(약),자연 선호(약),자연 선호(약),자연 선호(약),중립,자연 선호(강),자연 선호(약),충청남도,충남,3인 이상 여행(가족 외),여행 동반자와의 친밀감 및 유대감 증진,2,g_g001178
남,30,기타,1년,46130,45800,50110,자연 선호(중),자연 선호(중),자연 선호(중),중립,자연 선호(중),도시 선호(중),도시 선호(중),도시 선호(중),전라북도,전북,2인 여행(가족 외),새로운 경험 추구,1,g_g003243
여,20,학생,한달,26230,42210,48310,자연 선호(약),자연 선호(강),도시 선호(약),자연 선호(중),자연 선호(강),자연 선호(중),자연 선호(강),도시 선호(중),부산광역시,전북,나홀로 여행,"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",0,g_g003119
여,20,전문가 및 관련 종사자,한달,50110,44230,44150,자연 선호(중),자연 선호(약),자연 선호(약),자연 선호(중),자연 선호(중),자연 선호(중),자연 선호(중),도시 선호(약),대전광역시,충남,부모 동반 여행,여행 동반자와의 친밀감 및 유대감 증진,2,g_g001129
남,20,학생,1년,50110,26350,46130,중립,자연 선호(강),자연 선호(강),도시 선호(중),중립,자연 선호(약),도시 선호(강),도시 선호(약),서울특별시,전남,2인 가족 여행,여행 동반자와의 친밀감 및 유대감 증진,1,g_g005921
여,30,사무 종사자,한달,50110,45710,29110,자연 선호(약),자연 선호(중),자연 선호(중),자연 선호(약),자연 선호(중),자연 선호(약),도시 선호(약),중립,전라북도,전북,2인 여행(가족 외),여행 동반자와의 친밀감 및 유대감 증진,1,g_g001689
남,20,학생,1년,11440,42110,26350,중립,자연 선호(강),자연 선호(강),자연 선호(강),자연 선호(강),자연 선호(강),자연 선호(강),도시 선호(중),서울특별시,전북,2인 여행(가족 외),여행 동반자와의 친밀감 및 유대감 증진,1,g_g004317
남,30,전문가 및 관련 종사자,1년,30200,46770,46130,자연 선호(중),자연 선호(강),자연 선호(중),자연 선호(강),도시 선호(중),도시 선호(중),도시 선호(강),자연 선호(강),서울특별시,충북,2인 가족 여행,"역사 탐방, 문화적 경험 등 교육적 동기",1,g_g000604
남,20,기능원 및 관련 기능 종사자,1년,42150,26350,45110,자연 선호(중),자연 선호(강),자연 선호(약),자연 선호(약),자연 선호(약),도시 선호(중),자연 선호(중),도시 선호(중),경기도,전북,2인 여행(가족 외),여행 동반자와의 친밀감 및 유대감 증진,1,g_g000016
여,20,학생,한달,26350,30140,11440,도시 선호(중),중립,중립,자연 선호(약),중립,도시 선호(약),도시 선호(약),자연 선호(약),인천광역시,대전,나홀로 여행,기타,0,g_g011408
