TRAVEL_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,TRAVEL_MISSION_CHECK
g_g010780,"SNS 인생샷 여행;Well-ness 여행;인플루언서 따라하기 여행;테마파크, 놀이시설, 동/식물원 방문;시티투어",2023-09-02,2023-09-03,SNS 인생샷 여행;Well-ness 여행;인플루언서 따라하기 여행
g_g010781,"테마파크, 놀이시설, 동/식물원 방문;반려동물 동반 여행;시티투어;지역 축제/이벤트 참가",2023-09-02,2023-09-03,반려동물 동반 여행;쇼핑;신규 여행지 발굴
g_g010785,쇼핑;역사 유적지 방문;지역 문화예술/공연/전시시설 관람,2023-09-23,2023-09-24,역사 유적지 방문;지역 문화예술/공연/전시시설 관람;지역 축제/이벤트 참가
g_g010799,SNS 인생샷 여행;캠핑,2023-08-30,2023-08-31,캠핑;SNS 인생샷 여행;인플루언서 따라하기 여행
g_g010805,"테마파크, 놀이시설, 동/식물원 방문",2023-09-08,2023-09-09,"테마파크, 놀이시설, 동/식물원 방문;쇼핑;지역 문화예술/공연/전시시설 관람"
g_g010807,쇼핑;SNS 인생샷 여행;지역 문화예술/공연/전시시설 관람,2023-08-29,2023-08-30,지역 문화예술/공연/전시시설 관람;SNS 인생샷 여행;쇼핑
g_g010811,쇼핑;Well-ness 여행;SNS 인생샷 여행;지역 문화예술/공연/전시시설 관람;지역 축제/이벤트 참가,2023-09-09,2023-09-10,지역 축제/이벤트 참가;쇼핑;지역 문화예술/공연/전시시설 관람
g_g010816,SNS 인생샷 여행;호캉스 여행;신규 여행지 발굴;인플루언서 따라하기 여행;친환경 여행(플로깅 여행),2023-08-31,2023-09-01,캠핑;SNS 인생샷 여행;친환경 여행(플로깅 여행)
g_g010824,등반 여행;역사 유적지 방문,2023-08-31,2023-09-01,역사 유적지 방문;지역 문화예술/공연/전시시설 관람;등반 여행
g_g010835,"테마파크, 놀이시설, 동/식물원 방문;Well-ness 여행;SNS 인생샷 여행;신규 여행지 발굴",2023-09-02,2023-09-03,"테마파크, 놀이시설, 동/식물원 방문;Well-ness 여행;신규 여행지 발굴"
g_g010836,SNS 인생샷 여행;인플루언서 따라하기 여행;지역 문화예술/공연/전시시설 관람;유흥/오락(나이트라이프);지역 축제/이벤트 참가,2023-09-02,2023-09-03,인플루언서 따라하기 여행;SNS 인생샷 여행;지역 축제/이벤트 참가
g_g010838,"쇼핑;테마파크, 놀이시설, 동/식물원 방문;SNS 인생샷 여행;인플루언서 따라하기 여행;지역 문화예술/공연/전시시설 관람",2023-09-02,2023-09-03,인플루언서 따라하기 여행;쇼핑;지역 문화예술/공연/전시시설 관람
g_g010840,쇼핑;드라마 촬영지 방문;SNS 인생샷 여행;역사 유적지 방문;시티투어,2023-09-02,2023-09-03,SNS 인생샷 여행;신규 여행지 발굴;드라마 촬영지 방문
g_g010847,"쇼핑;테마파크, 놀이시설, 동/식물원 방문;SNS 인생샷 여행;신규 여행지 발굴;친환경 여행(플로깅 여행)",2023-08-31,2023-09-01,"테마파크, 놀이시설, 동/식물원 방문;지역 문화예술/공연/전시시설 관람;쇼핑"
g_g010850,"역사 유적지 방문;야외 스포츠, 레포츠 활동;지역 문화예술/공연/전시시설 관람;Well-ness 여행;신규 여행지 발굴",2023-08-31,2023-09-01,지역 문화예술/공연/전시시설 관람;쇼핑;인플루언서 따라하기 여행
g_g010859,"테마파크, 놀이시설, 동/식물원 방문;역사 유적지 방문;지역 문화예술/공연/전시시설 관람;유흥/오락(나이트라이프);지역 축제/이벤트 참가",2023-09-02,2023-09-03,지역 축제/이벤트 참가;시티투어;역사 유적지 방문
g_g010860,쇼핑;SNS 인생샷 여행;지역 문화예술/공연/전시시설 관람,2023-09-09,2023-09-10,지역 문화예술/공연/전시시설 관람;쇼핑;Well-ness 여행
g_g010864,쇼핑;시티투어;SNS 인생샷 여행;지역 축제/이벤트 참가;인플루언서 따라하기 여행;신규 여행지 발굴;친환경 여행(플로깅 여행);등반 여행,2023-09-08,2023-09-09,"테마파크, 놀이시설, 동/식물원 방문;시티투어;지역 축제/이벤트 참가"
g_g010870,"쇼핑;테마파크, 놀이시설, 동/식물원 방문;Well-ness 여행;지역 문화예술/공연/전시시설 관람;지역 축제/이벤트 참가",2023-09-17,2023-09-18,종교/성지 순례;지역 문화예술/공연/전시시설 관람;SNS 인생샷 여행
g_g010878,Well-ness 여행;SNS 인생샷 여행;신규 여행지 발굴;유흥/오락(나이트라이프);지역 축제/이벤트 참가,2023-09-01,2023-09-02,지역 축제/이벤트 참가;쇼핑;유흥/오락(나이트라이프)
g_g010908,드라마 촬영지 방문;SNS 인생샷 여행;신규 여행지 발굴,2023-09-15,2023-09-16,쇼핑;SNS 인생샷 여행;친환경 여행(플로깅 여행)
g_g010910,지역 축제/이벤트 참가,2023-09-02,2023-09-03,지역 축제/이벤트 참가;신규 여행지 발굴;Well-ness 여행
g_g010930,"쇼핑;교육/체험 프로그램 참가;테마파크, 놀이시설, 동/식물원 방문;지역 문화예술/공연/전시시설 관람;지역 축제/이벤트 참가",2023-09-03,2023-09-04,지역 문화예술/공연/전시시설 관람;지역 축제/이벤트 참가;SNS 인생샷 여행
g_g010931,Well-ness 여행;SNS 인생샷 여행;시티투어,2023-09-02,2023-09-03,시티투어;SNS 인생샷 여행;Well-ness 여행
g_g010932,Well-ness 여행;등반 여행,2023-09-02,2023-09-03,등반 여행;Well-ness 여행;쇼핑
g_g010939,"테마파크, 놀이시설, 동/식물원 방문;쇼핑;유흥/오락(나이트라이프);지역 문화예술/공연/전시시설 관람;온천/스파;지역 축제/이벤트 참가;호캉스 여행;SNS 인생샷 여행;신규 여행지 발굴;인플루언서 따라하기 여행;친환경 여행(플로깅 여행);등반 여행;Well-ness 여행",2023-09-16,2023-09-17,쇼핑;역사 유적지 방문;친환경 여행(플로깅 여행)
g_g010944,"쇼핑;테마파크, 놀이시설, 동/식물원 방문;SNS 인생샷 여행;인플루언서 따라하기 여행;시티투어",2023-09-03,2023-09-04,Well-ness 여행;SNS 인생샷 여행;인플루언서 따라하기 여행
g_g010945,"쇼핑;테마파크, 놀이시설, 동/식물원 방문;지역 문화예술/공연/전시시설 관람;시티투어;SNS 인생샷 여행",2023-09-02,2023-09-03,쇼핑;지역 문화예술/공연/전시시설 관람;시티투어
g_g010950,쇼핑;SNS 인생샷 여행;인플루언서 따라하기 여행;역사 유적지 방문;지역 문화예술/공연/전시시설 관람,2023-09-08,2023-09-09,쇼핑;지역 문화예술/공연/전시시설 관람;시티투어
g_g010954,"테마파크, 놀이시설, 동/식물원 방문;Well-ness 여행;SNS 인생샷 여행;인플루언서 따라하기 여행;역사 유적지 방문",2023-09-03,2023-09-04,"테마파크, 놀이시설, 동/식물원 방문;Well-ness 여행;신규 여행지 발굴"
g_g010972,"쇼핑;Well-ness 여행;SNS 인생샷 여행;신규 여행지 발굴;인플루언서 따라하기 여행;야외 스포츠, 레포츠 활동",2023-09-17,2023-09-18,"테마파크, 놀이시설, 동/식물원 방문;쇼핑;Well-ness 여행"
g_g010976,"테마파크, 놀이시설, 동/식물원 방문;역사 유적지 방문",2023-09-16,2023-09-17,역사 유적지 방문;지역 문화예술/공연/전시시설 관람;쇼핑
g_g010979,"Well-ness 여행;SNS 인생샷 여행;야외 스포츠, 레포츠 활동",2023-09-09,2023-09-10,교육/체험 프로그램 참가;SNS 인생샷 여행;Well-ness 여행
g_g010982,쇼핑;Well-ness 여행;SNS 인생샷 여행;역사 유적지 방문;지역 문화예술/공연/전시시설 관람,2023-08-30,2023-08-31,역사 유적지 방문;지역 문화예술/공연/전시시설 관람;Well-ness 여행
g_g011009,시티투어;SNS 인생샷 여행,2023-09-05,2023-09-06,SNS 인생샷 여행;시티투어;쇼핑
g_g011018,"쇼핑;테마파크, 놀이시설, 동/식물원 방문;역사 유적지 방문;시티투어;야외 스포츠, 레포츠 활동",2023-09-01,2023-09-02,반려동물 동반 여행;SNS 인생샷 여행;친환경 여행(플로깅 여행)
g_g011038,SNS 인생샷 여행;친환경 여행(플로깅 여행),2023-09-02,2023-09-03,신규 여행지 발굴;Well-ness 여행;인플루언서 따라하기 여행
g_g011045,"역사 유적지 방문;야외 스포츠, 레포츠 활동",2023-09-03,2023-09-04,"역사 유적지 방문;야외 스포츠, 레포츠 활동;드라마 촬영지 방문"
g_g011053,쇼핑;Well-ness 여행;SNS 인생샷 여행;신규 여행지 발굴;시티투어,2023-09-23,2023-09-24,"쇼핑;테마파크, 놀이시설, 동/식물원 방문;SNS 인생샷 여행"
g_g011054,"테마파크, 놀이시설, 동/식물원 방문;지역 문화예술/공연/전시시설 관람",2023-09-09,2023-09-10,지역 문화예술/공연/전시시설 관람;신규 여행지 발굴;SNS 인생샷 여행
g_g011060,지역 문화예술/공연/전시시설 관람;SNS 인생샷 여행;신규 여행지 발굴;인플루언서 따라하기 여행;시티투어,2023-09-10,2023-09-11,"야외 스포츠, 레포츠 활동;인플루언서 따라하기 여행;쇼핑"
g_g011076,쇼핑;Well-ness 여행;SNS 인생샷 여행;신규 여행지 발굴;인플루언서 따라하기 여행,2023-09-17,2023-09-18,시티투어;쇼핑;SNS 인생샷 여행
g_g011077,"테마파크, 놀이시설, 동/식물원 방문;SNS 인생샷 여행;역사 유적지 방문;지역 축제/이벤트 참가",2023-09-02,2023-09-03,SNS 인생샷 여행;지역 축제/이벤트 참가;인플루언서 따라하기 여행
g_g011078,"테마파크, 놀이시설, 동/식물원 방문;쇼핑;SNS 인생샷 여행;지역 문화예술/공연/전시시설 관람",2023-09-07,2023-09-08,"테마파크, 놀이시설, 동/식물원 방문;지역 문화예술/공연/전시시설 관람;SNS 인생샷 여행"
g_g011086,쇼핑;SNS 인생샷 여행;인플루언서 따라하기 여행;친환경 여행(플로깅 여행);유흥/오락(나이트라이프),2023-09-07,2023-09-08,지역 문화예술/공연/전시시설 관람;역사 유적지 방문;시티투어
g_g011091,"종교/성지 순례;테마파크, 놀이시설, 동/식물원 방문;SNS 인생샷 여행;인플루언서 따라하기 여행;친환경 여행(플로깅 여행)",2023-09-13,2023-09-14,"테마파크, 놀이시설, 동/식물원 방문;드라마 촬영지 방문;SNS 인생샷 여행"
