TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP
g_g000345,친구,여자,30대
g_g000346,자녀,여자,~9세이하
g_g000348,친구,남자,20대
g_g000348,친구,여자,20대
g_g000348,친구,남자,30대
g_g000348,친구,남자,20대
g_g000348,친구,여자,20대
g_g000351,배우자,여자,30대
g_g000354,부모,여자,70세이상
g_g000354,부모,남자,70세이상
g_g000357,배우자,여자,40대
g_g000361,배우자,남자,40대
g_g000361,자녀,남자,10대
g_g000361,자녀,남자,10대
g_g000365,친구,여자,30대
g_g000374,자녀,여자,~9세이하
g_g000374,배우자,남자,40대
g_g000378,연인,여자,20대
g_g000379,배우자,여자,40대
g_g000379,자녀,여자,10대
g_g000380,자녀,남자,10대
g_g000380,배우자,남자,40대
g_g000384,배우자,남자,30대
g_g000384,자녀,여자,~9세이하
g_g000384,자녀,여자,~9세이하
g_g000387,배우자,여자,50대
g_g000391,배우자,여자,30대
g_g000391,자녀,남자,~9세이하
g_g000391,자녀,남자,~9세이하
g_g000392,연인,남자,30대
g_g000393,배우자,남자,40대
g_g000394,자녀,남자,~9세이하
g_g000394,부모,남자,70세이상
g_g000394,자녀,남자,~9세이하
g_g000396,자녀,여자,10대
g_g000396,배우자,여자,40대
g_g000396,자녀,여자,10대
g_g000397,친구,여자,30대
g_g000397,기타,남자,~9세이하
g_g000397,기타,남자,10대
g_g000399,자녀,남자,~9세이하
g_g000399,부모,여자,60대
g_g000399,배우자,남자,40대
g_g000399,부모,남자,60대
g_g000404,배우자,남자,40대
g_g000404,자녀,남자,~9세이하
g_g000404,자녀,여자,10대
g_g000410,기타,여자,~9세이하
g_g000410,친구,여자,30대
g_g000410,자녀,남자,~9세이하
g_g000414,연인,남자,20대
g_g000420,배우자,남자,30대
g_g000420,자녀,여자,30대
g_g000423,배우자,남자,50대
g_g000423,자녀,남자,~9세이하
g_g000423,자녀,남자,10대
g_g000427,자녀,여자,10대
g_g000427,배우자,남자,40대
g_g000427,자녀,남자,~9세이하
g_g000430,연인,여자,20대
g_g000435,배우자,여자,40대
g_g000435,친인척,남자,40대
g_g000435,친인척,여자,~9세이하
g_g000435,자녀,여자,~9세이하
g_g000435,친인척,여자,30대
g_g000437,자녀,여자,~9세이하
g_g000437,배우자,여자,30대
g_g000441,연인,여자,30대
g_g000442,친구,여자,30대
g_g000442,친구,여자,30대
g_g000443,친인척,여자,~9세이하
g_g000443,형제/자매,여자,40대
g_g000443,연인,남자,30대
g_g000447,친구,여자,30대
g_g000447,동료,여자,30대
g_g000447,동료,남자,30대
g_g000453,동료,여자,60대
g_g000453,동료,여자,50대
g_g000454,형제/자매,여자,40대
g_g000454,자녀,여자,10대
g_g000454,형제/자매,여자,50대
g_g000459,자녀,여자,~9세이하
g_g000459,배우자,남자,40대
g_g000459,자녀,여자,~9세이하
g_g000460,배우자,여자,30대
g_g000460,자녀,여자,~9세이하
g_g000460,자녀,남자,~9세이하
g_g000461,배우자,남자,60대
g_g000461,자녀,남자,30대
g_g000461,자녀,여자,30대
g_g000464,배우자,여자,50대
g_g000464,친인척,남자,70세이상
g_g000464,친인척,남자,60대
g_g000464,친인척,여자,60대
g_g000466,자녀,여자,10대
g_g000466,배우자,남자,40대
g_g000469,친구,여자,20대
g_g000471,자녀,여자,~9세이하
g_g000471,배우자,여자,40대
g_g000473,형제/자매,여자,60대
g_g000473,배우자,남자,50대
g_g000473,친인척,여자,10대
g_g000477,형제/자매,여자,30대
g_g000478,부모,여자,60대
g_g000480,배우자,여자,30대
g_g000481,자녀,여자,~9세이하
g_g000481,배우자,남자,40대
g_g000481,자녀,여자,~9세이하
g_g000486,"친목 단체/모임(동호회, 종교단체 등)",여자,50대
