TRAVEL_ID,KTX/SRT(고속열차),관광버스,기타,렌터카(승용/승합/버스 등등),배/선박,버스 + 지하철,새마을/무궁화열차,시내/마을버스,시외/고속버스,자가용(승용/승합/트럭 등등),자전거,지하철,캠핑카(자차 및 렌탈),택시,항공기,MAJOR_TRANSPORT,TOTAL_MVMN_WON
g_g000447,0,0,0,0,0,22400,0,0,0,15000,0,0,0,8700,0,"['버스 + 지하철', '자가용(승용/승합/트럭 등등)', '택시']",46100
g_g000453,0,0,0,0,0,0,0,0,0,116000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],116000
g_g000454,0,0,0,0,0,0,0,0,0,30000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],30000
g_g000459,0,0,0,0,0,0,0,0,0,88500,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],88500
g_g000460,0,0,0,0,0,0,0,0,0,50000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],50000
g_g000461,0,0,0,0,0,0,0,0,0,60000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],60000
g_g000464,0,0,0,0,0,0,0,0,0,96911,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],96911
g_g000466,0,0,0,0,0,0,0,0,0,50600,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],50600
g_g000469,92000,0,0,0,0,0,0,12000,0,0,0,0,0,0,0,"['KTX/SRT(고속열차)', '시내/마을버스']",104000
g_g000471,0,0,0,0,0,0,0,0,0,76500,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],76500
g_g000473,0,0,0,0,0,0,0,0,0,30960,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],30960
g_g000474,69200,0,0,0,0,0,0,0,0,0,0,2480,0,14300,0,['택시'],85980
g_g000477,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],20000
g_g000478,0,0,0,0,0,0,0,0,0,87600,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],87600
g_g000480,0,0,0,0,0,0,0,0,0,75600,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],75600
g_g000481,0,0,0,0,0,0,0,0,0,103000,0,0,0,19900,0,['자가용(승용/승합/트럭 등등)'],122900
g_g000483,0,0,0,0,0,0,0,0,0,55200,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],55200
g_g000486,0,0,0,700000,0,0,0,0,0,70000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],770000
g_g000487,0,0,0,0,0,0,0,0,0,103500,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],103500
g_g000488,0,0,0,0,0,0,0,0,0,30000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],30000
g_g000490,0,0,0,0,0,0,39400,0,0,0,0,7800,0,5200,0,['새마을/무궁화열차'],52400
