TRAVEL_ID,MAJOR_TRANSPORT,TOTAL_MVMN_WON
g_g000558,['자가용(승용/승합/트럭 등등)'],85000
g_g000560,['자가용(승용/승합/트럭 등등)'],109000
g_g000562,['버스 + 지하철'],24700
g_g000569,"['자가용(승용/승합/트럭 등등)', '지하철']",201250
g_g000570,['자가용(승용/승합/트럭 등등)'],110000
g_g000571,['자가용(승용/승합/트럭 등등)'],297000
g_g000572,['자가용(승용/승합/트럭 등등)'],67200
g_g000577,['자가용(승용/승합/트럭 등등)'],135000
g_g000581,['자가용(승용/승합/트럭 등등)'],77600
g_g000582,['자가용(승용/승합/트럭 등등)'],80000
g_g000585,['자가용(승용/승합/트럭 등등)'],34700
g_g000590,['자가용(승용/승합/트럭 등등)'],115600
g_g000592,['자가용(승용/승합/트럭 등등)'],114000
g_g000602,['자가용(승용/승합/트럭 등등)'],68044
g_g000604,['자가용(승용/승합/트럭 등등)'],91300
g_g000605,['자가용(승용/승합/트럭 등등)'],93800
g_g000606,['자가용(승용/승합/트럭 등등)'],59400
g_g000607,['자가용(승용/승합/트럭 등등)'],48200
g_g000610,['자가용(승용/승합/트럭 등등)'],20000
g_g000611,['자가용(승용/승합/트럭 등등)'],80550
g_g000612,['시외/고속버스'],8800
g_g000614,['자가용(승용/승합/트럭 등등)'],27965
g_g000618,['자가용(승용/승합/트럭 등등)'],122100
g_g000619,['자가용(승용/승합/트럭 등등)'],61000
g_g000622,['자가용(승용/승합/트럭 등등)'],56200
g_g000624,"['새마을/무궁화열차', '시내/마을버스', '택시']",36250
g_g000628,['새마을/무궁화열차'],75900
g_g000629,['자가용(승용/승합/트럭 등등)'],81200
g_g000636,['자가용(승용/승합/트럭 등등)'],57200
g_g000637,['자가용(승용/승합/트럭 등등)'],26800
g_g000638,['자가용(승용/승합/트럭 등등)'],429940
g_g000639,['택시'],81900
g_g000642,['자가용(승용/승합/트럭 등등)'],67600
g_g000643,"['관광버스', '택시']",28400
g_g000648,['택시'],70700
g_g000651,['자가용(승용/승합/트럭 등등)'],20000
g_g000653,['렌터카(승용/승합/버스 등등)'],440000
g_g000654,['자가용(승용/승합/트럭 등등)'],86060
g_g000657,['자가용(승용/승합/트럭 등등)'],67600
g_g000658,['자가용(승용/승합/트럭 등등)'],80000
g_g000665,['자가용(승용/승합/트럭 등등)'],100000
g_g000670,['자가용(승용/승합/트럭 등등)'],57800
g_g000672,['자가용(승용/승합/트럭 등등)'],152800
g_g000678,['자가용(승용/승합/트럭 등등)'],62500
g_g000680,['자가용(승용/승합/트럭 등등)'],46000
g_g000681,['자가용(승용/승합/트럭 등등)'],49200
g_g000685,['자가용(승용/승합/트럭 등등)'],97100
g_g000687,['자가용(승용/승합/트럭 등등)'],48600
g_g000688,"['자가용(승용/승합/트럭 등등)', '택시']",8400
g_g000695,"['KTX/SRT(고속열차)', '자가용(승용/승합/트럭 등등)', '지하철']",86000
g_g000696,"['KTX/SRT(고속열차)', '지하철']",37050
g_g000697,"['배/선박', '새마을/무궁화열차', '시내/마을버스']",16400
g_g000698,['자가용(승용/승합/트럭 등등)'],34800
g_g000699,['택시'],95360
g_g000701,"['KTX/SRT(고속열차)', '자가용(승용/승합/트럭 등등)']",112600
g_g000702,['자가용(승용/승합/트럭 등등)'],78300
g_g000703,['KTX/SRT(고속열차)'],198800
g_g000709,"['렌터카(승용/승합/버스 등등)', '시외/고속버스', '택시']",86500
g_g000710,"['KTX/SRT(고속열차)', '새마을/무궁화열차', '시내/마을버스']",49400
g_g000712,"['관광버스', '지하철']",17500
g_g000714,['자가용(승용/승합/트럭 등등)'],64940
g_g000716,['자가용(승용/승합/트럭 등등)'],65600
g_g000717,['자가용(승용/승합/트럭 등등)'],15000
g_g000719,['자가용(승용/승합/트럭 등등)'],68400
g_g000722,['자가용(승용/승합/트럭 등등)'],32600
g_g000726,['택시'],49100
g_g000727,['자가용(승용/승합/트럭 등등)'],77000
g_g000729,['자가용(승용/승합/트럭 등등)'],66900
g_g000730,['자가용(승용/승합/트럭 등등)'],162000
g_g000732,['자가용(승용/승합/트럭 등등)'],95500
g_g000734,['자가용(승용/승합/트럭 등등)'],50000
g_g000735,['자가용(승용/승합/트럭 등등)'],88000
g_g000742,['자가용(승용/승합/트럭 등등)'],29709
g_g000743,['자가용(승용/승합/트럭 등등)'],62600
g_g000747,['자가용(승용/승합/트럭 등등)'],67000
g_g000751,['자가용(승용/승합/트럭 등등)'],50000
g_g000754,['렌터카(승용/승합/버스 등등)'],651600
g_g000756,"['KTX/SRT(고속열차)', '택시']",273800
g_g000758,"['배/선박', '시외/고속버스', '택시']",21400
g_g000769,['자가용(승용/승합/트럭 등등)'],59700
g_g000770,['자가용(승용/승합/트럭 등등)'],20000
g_g000773,"['기타', '지하철', '택시']",72800
g_g000775,['자가용(승용/승합/트럭 등등)'],68200
g_g000776,['자가용(승용/승합/트럭 등등)'],10000
g_g000777,['자가용(승용/승합/트럭 등등)'],600
g_g000779,['자가용(승용/승합/트럭 등등)'],64000
g_g000781,['자가용(승용/승합/트럭 등등)'],101200
g_g000782,['자가용(승용/승합/트럭 등등)'],107600
g_g000784,['자가용(승용/승합/트럭 등등)'],45000
g_g000785,['자가용(승용/승합/트럭 등등)'],15000
g_g000786,['자가용(승용/승합/트럭 등등)'],43000
g_g000788,['자가용(승용/승합/트럭 등등)'],136940
g_g000789,['새마을/무궁화열차'],56351
g_g000790,['자가용(승용/승합/트럭 등등)'],50000
g_g000792,['자가용(승용/승합/트럭 등등)'],98000
g_g000794,['자가용(승용/승합/트럭 등등)'],10000
g_g000796,['자가용(승용/승합/트럭 등등)'],3000
g_g000804,['자가용(승용/승합/트럭 등등)'],81000
g_g000807,['자가용(승용/승합/트럭 등등)'],134500
g_g000808,['자가용(승용/승합/트럭 등등)'],102400
g_g000809,['자가용(승용/승합/트럭 등등)'],55400
g_g000812,['자가용(승용/승합/트럭 등등)'],22600
g_g000815,['자가용(승용/승합/트럭 등등)'],18400
g_g000818,['자가용(승용/승합/트럭 등등)'],50000
g_g000819,['자가용(승용/승합/트럭 등등)'],70000
g_g000820,['자가용(승용/승합/트럭 등등)'],45000
g_g000826,['자가용(승용/승합/트럭 등등)'],29000
g_g000831,['자가용(승용/승합/트럭 등등)'],137400
g_g000832,['자가용(승용/승합/트럭 등등)'],3800
g_g000834,['자가용(승용/승합/트럭 등등)'],34300
g_g000836,['시외/고속버스'],41200
g_g000842,['자가용(승용/승합/트럭 등등)'],130000
g_g000859,['자가용(승용/승합/트럭 등등)'],110000
g_g000861,['자가용(승용/승합/트럭 등등)'],65800
g_g000862,['자가용(승용/승합/트럭 등등)'],59300
g_g000864,['KTX/SRT(고속열차)'],115250
g_g000867,['자가용(승용/승합/트럭 등등)'],169600
g_g000869,['자가용(승용/승합/트럭 등등)'],30000
g_g000871,['자가용(승용/승합/트럭 등등)'],75450
g_g000875,['자가용(승용/승합/트럭 등등)'],65000
g_g000880,['자가용(승용/승합/트럭 등등)'],47585
g_g000881,['자가용(승용/승합/트럭 등등)'],335500
g_g000883,['자가용(승용/승합/트럭 등등)'],39100
g_g000892,['자가용(승용/승합/트럭 등등)'],58000
g_g000898,['택시'],36300
g_g000899,['자가용(승용/승합/트럭 등등)'],91500
g_g000901,['자가용(승용/승합/트럭 등등)'],96500
g_g000902,['버스 + 지하철'],20300
g_g000906,['자가용(승용/승합/트럭 등등)'],75200
g_g000907,"['버스 + 지하철', '택시']",124000
g_g000910,['자가용(승용/승합/트럭 등등)'],83000
g_g000913,['자가용(승용/승합/트럭 등등)'],17800
g_g000916,['자가용(승용/승합/트럭 등등)'],39200
g_g000917,['자가용(승용/승합/트럭 등등)'],36100
g_g000920,['자가용(승용/승합/트럭 등등)'],106910
g_g000931,['자가용(승용/승합/트럭 등등)'],57400
g_g000935,['자가용(승용/승합/트럭 등등)'],92500
g_g000937,['렌터카(승용/승합/버스 등등)'],864310
g_g000938,['자가용(승용/승합/트럭 등등)'],180000
g_g000939,['자가용(승용/승합/트럭 등등)'],89500
g_g000940,"['시외/고속버스', '택시']",142600
g_g000943,['자가용(승용/승합/트럭 등등)'],6600
g_g000944,"['시외/고속버스', '택시']",45100
g_g000945,['자가용(승용/승합/트럭 등등)'],43000
g_g000946,['자가용(승용/승합/트럭 등등)'],64000
g_g000947,['자가용(승용/승합/트럭 등등)'],49600
g_g000949,['자가용(승용/승합/트럭 등등)'],59400
g_g000950,['자가용(승용/승합/트럭 등등)'],90000
g_g000952,['자가용(승용/승합/트럭 등등)'],108000
g_g000954,['자가용(승용/승합/트럭 등등)'],94500
g_g000957,['택시'],9600
g_g000958,['자가용(승용/승합/트럭 등등)'],129024
g_g000959,['자가용(승용/승합/트럭 등등)'],57500
g_g000965,['자가용(승용/승합/트럭 등등)'],92700
g_g000967,['시외/고속버스'],76000
g_g000972,['자가용(승용/승합/트럭 등등)'],144600
g_g000974,['버스 + 지하철'],80000
g_g000976,['자가용(승용/승합/트럭 등등)'],35000
g_g000982,['자가용(승용/승합/트럭 등등)'],103500
g_g000983,['자가용(승용/승합/트럭 등등)'],30000
g_g000985,"['KTX/SRT(고속열차)', '자가용(승용/승합/트럭 등등)']",12900
g_g000986,['자가용(승용/승합/트럭 등등)'],30000
g_g000987,['자가용(승용/승합/트럭 등등)'],30000
g_g000989,['자가용(승용/승합/트럭 등등)'],40500
g_g000991,['자가용(승용/승합/트럭 등등)'],37000
g_g000992,"['KTX/SRT(고속열차)', '새마을/무궁화열차']",137450
g_g000993,['렌터카(승용/승합/버스 등등)'],198217
g_g000996,['버스 + 지하철'],32000
g_g000998,['자가용(승용/승합/트럭 등등)'],110800
g_g001000,['KTX/SRT(고속열차)'],114400
g_g001002,['자가용(승용/승합/트럭 등등)'],8300
g_g001003,"['KTX/SRT(고속열차)', '지하철']",54600
g_g001004,['자가용(승용/승합/트럭 등등)'],220100
g_g001006,['자가용(승용/승합/트럭 등등)'],57000
g_g001008,['자가용(승용/승합/트럭 등등)'],30000
g_g001011,['자가용(승용/승합/트럭 등등)'],72000
g_g001014,['자가용(승용/승합/트럭 등등)'],155664
g_g001016,"['KTX/SRT(고속열차)', '지하철', '택시']",56000
g_g001019,['자가용(승용/승합/트럭 등등)'],66200
g_g001026,['자가용(승용/승합/트럭 등등)'],50000
g_g001028,['자가용(승용/승합/트럭 등등)'],80000
g_g001030,['자가용(승용/승합/트럭 등등)'],22400
g_g001033,['자가용(승용/승합/트럭 등등)'],76000
g_g001034,['자가용(승용/승합/트럭 등등)'],30000
g_g001038,['KTX/SRT(고속열차)'],53500
g_g001039,['자가용(승용/승합/트럭 등등)'],52500
g_g001040,['자가용(승용/승합/트럭 등등)'],60000
g_g001041,['자가용(승용/승합/트럭 등등)'],40000
g_g001046,['자가용(승용/승합/트럭 등등)'],80000
g_g001047,['자가용(승용/승합/트럭 등등)'],35600
g_g001048,['자가용(승용/승합/트럭 등등)'],72800
g_g001050,['자가용(승용/승합/트럭 등등)'],34000
g_g001051,['자가용(승용/승합/트럭 등등)'],66800
g_g001052,['자가용(승용/승합/트럭 등등)'],23000
g_g001053,['택시'],84400
g_g001056,['자가용(승용/승합/트럭 등등)'],66600
g_g001063,['자가용(승용/승합/트럭 등등)'],85500
g_g001068,['자가용(승용/승합/트럭 등등)'],66100
g_g001070,['자가용(승용/승합/트럭 등등)'],55900
g_g001076,['자가용(승용/승합/트럭 등등)'],177000
g_g001077,['자가용(승용/승합/트럭 등등)'],110000
g_g001081,['자가용(승용/승합/트럭 등등)'],245000
g_g001083,['자가용(승용/승합/트럭 등등)'],89250
g_g001086,['지하철'],8200
g_g001095,"['새마을/무궁화열차', '지하철', '택시']",108200
g_g001103,"['KTX/SRT(고속열차)', '버스 + 지하철', '자가용(승용/승합/트럭 등등)']",66000
g_g001104,['자가용(승용/승합/트럭 등등)'],30000
g_g001106,"['시내/마을버스', '자가용(승용/승합/트럭 등등)']",26000
g_g001111,['자가용(승용/승합/트럭 등등)'],45000
g_g001112,['자가용(승용/승합/트럭 등등)'],71500
g_g001113,['자가용(승용/승합/트럭 등등)'],15800
g_g001114,['자가용(승용/승합/트럭 등등)'],66500
g_g001118,"['새마을/무궁화열차', '지하철']",7100
g_g001124,['자전거'],58060
g_g001129,['자가용(승용/승합/트럭 등등)'],11600
g_g001132,['렌터카(승용/승합/버스 등등)'],299250
g_g001133,['자가용(승용/승합/트럭 등등)'],188800
g_g001135,['자가용(승용/승합/트럭 등등)'],46600
g_g001136,['자가용(승용/승합/트럭 등등)'],30600
g_g001138,['자가용(승용/승합/트럭 등등)'],65000
g_g001144,['자가용(승용/승합/트럭 등등)'],67600
g_g001147,['캠핑카(자차 및 렌탈)'],65200
g_g001148,['자가용(승용/승합/트럭 등등)'],15400
g_g001151,['자가용(승용/승합/트럭 등등)'],30000
g_g001154,['자가용(승용/승합/트럭 등등)'],83500
g_g001164,['자가용(승용/승합/트럭 등등)'],67100
g_g001169,['자가용(승용/승합/트럭 등등)'],102000
g_g001171,['자가용(승용/승합/트럭 등등)'],4200
g_g001173,['자가용(승용/승합/트럭 등등)'],48000
g_g001178,['자가용(승용/승합/트럭 등등)'],50000
g_g001189,['자가용(승용/승합/트럭 등등)'],89000
g_g001191,"['관광버스', '지하철']",97400
g_g001194,"['시외/고속버스', '자전거', '택시']",37700
g_g001196,['자가용(승용/승합/트럭 등등)'],60900
g_g001197,['시외/고속버스'],242400
g_g001200,['자가용(승용/승합/트럭 등등)'],70200
g_g001203,['자가용(승용/승합/트럭 등등)'],78000
g_g001204,['자가용(승용/승합/트럭 등등)'],54000
g_g001206,"['KTX/SRT(고속열차)', '렌터카(승용/승합/버스 등등)', '시내/마을버스']",305190
g_g001208,['자가용(승용/승합/트럭 등등)'],70000
g_g001209,['자가용(승용/승합/트럭 등등)'],52000
g_g001219,"['KTX/SRT(고속열차)', '자가용(승용/승합/트럭 등등)']",82800
g_g001221,['자가용(승용/승합/트럭 등등)'],32300
g_g001222,['자가용(승용/승합/트럭 등등)'],80000
g_g001223,['자가용(승용/승합/트럭 등등)'],85000
g_g001224,['자가용(승용/승합/트럭 등등)'],30550
g_g001225,['자가용(승용/승합/트럭 등등)'],5900
g_g001227,['자가용(승용/승합/트럭 등등)'],30000
g_g001230,['자가용(승용/승합/트럭 등등)'],50800
g_g001231,['자가용(승용/승합/트럭 등등)'],110000
g_g001233,['자가용(승용/승합/트럭 등등)'],86500
g_g001235,"['관광버스', '자가용(승용/승합/트럭 등등)']",57800
g_g001237,['자가용(승용/승합/트럭 등등)'],10000
g_g001243,['자가용(승용/승합/트럭 등등)'],50000
g_g001250,['자가용(승용/승합/트럭 등등)'],60000
g_g001256,['자가용(승용/승합/트럭 등등)'],39000
g_g001257,['자가용(승용/승합/트럭 등등)'],48054
g_g001258,['자가용(승용/승합/트럭 등등)'],70000
g_g001261,['자가용(승용/승합/트럭 등등)'],61200
g_g001272,"['KTX/SRT(고속열차)', '지하철']",98600
g_g001273,['자가용(승용/승합/트럭 등등)'],30000
g_g001276,['자가용(승용/승합/트럭 등등)'],132000
g_g001280,['자가용(승용/승합/트럭 등등)'],51500
g_g001288,['자가용(승용/승합/트럭 등등)'],55600
g_g001289,['자가용(승용/승합/트럭 등등)'],40000
g_g001290,['자가용(승용/승합/트럭 등등)'],46600
g_g001291,['자가용(승용/승합/트럭 등등)'],58100
g_g001293,['자가용(승용/승합/트럭 등등)'],11000
g_g001296,['자가용(승용/승합/트럭 등등)'],60000
g_g001297,['자가용(승용/승합/트럭 등등)'],30000
g_g001299,['자가용(승용/승합/트럭 등등)'],90000
g_g001300,['자가용(승용/승합/트럭 등등)'],78000
g_g001301,['KTX/SRT(고속열차)'],75200
g_g001305,['버스 + 지하철'],32200
g_g001309,['KTX/SRT(고속열차)'],34200
g_g001313,['새마을/무궁화열차'],55200
g_g001315,['자가용(승용/승합/트럭 등등)'],7200
g_g001319,['자가용(승용/승합/트럭 등등)'],62400
g_g001320,"['시외/고속버스', '자가용(승용/승합/트럭 등등)', '택시']",31399
g_g001322,['자가용(승용/승합/트럭 등등)'],13000
g_g001323,['자가용(승용/승합/트럭 등등)'],9686
g_g001329,['자가용(승용/승합/트럭 등등)'],40000
g_g001337,"['버스 + 지하철', '택시']",38850
g_g001338,"['시외/고속버스', '택시']",68450
g_g001344,['자가용(승용/승합/트럭 등등)'],65000
g_g001346,['자가용(승용/승합/트럭 등등)'],102800
g_g001350,['자가용(승용/승합/트럭 등등)'],69500
g_g001352,['택시'],11600
g_g001353,"['시외/고속버스', '택시']",24200
g_g001362,['자가용(승용/승합/트럭 등등)'],67000
g_g001364,['자가용(승용/승합/트럭 등등)'],86400
g_g001371,['자가용(승용/승합/트럭 등등)'],14470
g_g001374,['자가용(승용/승합/트럭 등등)'],47500
g_g001381,['자가용(승용/승합/트럭 등등)'],43900
g_g001383,['택시'],22250
