TRAVEL_ID,MAJOR_ACTIVITY_TYPE
g_g000490,"['단순 구경 / 산책 / 걷기', '체험 활동 / 입장 및 관람', '휴식']"
g_g000492,['취식']
g_g000494,['휴식']
g_g000498,['취식']
g_g000499,['취식']
g_g000502,"['체험 활동 / 입장 및 관람', '취식']"
g_g000503,['취식']
g_g000506,"['취식', '휴식']"
g_g000507,['취식']
g_g000508,['취식']
g_g000510,"['단순 구경 / 산책 / 걷기', '취식']"
g_g000515,['휴식']
g_g000516,['단순 구경 / 산책 / 걷기']
g_g000518,['취식']
g_g000519,['취식']
g_g000520,['취식']
g_g000522,"['체험 활동 / 입장 및 관람', '취식']"
g_g000532,['단순 구경 / 산책 / 걷기']
g_g000536,['단순 구경 / 산책 / 걷기']
g_g000540,['취식']
g_g000541,['취식']
g_g000544,['취식']
g_g000545,['취식']
g_g000546,['단순 구경 / 산책 / 걷기']
g_g000552,"['취식', '휴식']"
g_g000556,['환승/경유']
g_g000558,['취식']
g_g000560,['취식']
g_g000562,['단순 구경 / 산책 / 걷기']
g_g000569,['취식']
g_g000570,['취식']
g_g000571,"['체험 활동 / 입장 및 관람', '취식']"
g_g000572,['취식']
g_g000577,['단순 구경 / 산책 / 걷기']
g_g000581,['체험 활동 / 입장 및 관람']
g_g000582,['체험 활동 / 입장 및 관람']
g_g000585,['취식']
g_g000590,"['체험 활동 / 입장 및 관람', '취식']"
g_g000592,['취식']
g_g000602,['휴식']
g_g000604,['휴식']
g_g000605,['취식']
g_g000606,['취식']
g_g000607,['휴식']
g_g000610,"['기타 활동', '체험 활동 / 입장 및 관람', '취식', '휴식']"
g_g000611,['취식']
g_g000612,['없음']
g_g000613,['취식']
g_g000614,['취식']
g_g000618,['휴식']
g_g000619,"['체험 활동 / 입장 및 관람', '취식']"
g_g000622,['취식']
g_g000624,['취식']
g_g000628,['단순 구경 / 산책 / 걷기']
g_g000629,['취식']
g_g000636,"['단순 구경 / 산책 / 걷기', '취식']"
g_g000637,['취식']
g_g000638,['기타 활동']
g_g000639,['취식']
g_g000642,['취식']
g_g000643,['취식']
g_g000648,['환승/경유']
g_g000651,['취식']
g_g000653,['환승/경유']
g_g000654,"['체험 활동 / 입장 및 관람', '취식']"
g_g000657,"['단순 구경 / 산책 / 걷기', '체험 활동 / 입장 및 관람']"
g_g000658,"['단순 구경 / 산책 / 걷기', '취식']"
g_g000665,"['취식', '휴식']"
g_g000670,['휴식']
g_g000672,['취식']
g_g000675,"['쇼핑 / 구매', '취식']"
g_g000678,['취식']
g_g000680,"['단순 구경 / 산책 / 걷기', '휴식']"
g_g000681,['취식']
g_g000685,['취식']
g_g000687,"['단순 구경 / 산책 / 걷기', '취식']"
g_g000688,['취식']
g_g000695,['취식']
g_g000696,['취식']
g_g000697,['취식']
g_g000698,['체험 활동 / 입장 및 관람']
g_g000699,['취식']
g_g000701,"['기타 활동', '취식']"
g_g000702,['체험 활동 / 입장 및 관람']
g_g000703,"['취식', '휴식']"
g_g000709,"['단순 구경 / 산책 / 걷기', '없음', '취식', '휴식']"
g_g000710,['취식']
g_g000712,['취식']
g_g000714,"['단순 구경 / 산책 / 걷기', '취식', '휴식']"
g_g000716,['취식']
g_g000717,"['단순 구경 / 산책 / 걷기', '체험 활동 / 입장 및 관람', '휴식']"
g_g000719,['취식']
g_g000722,['체험 활동 / 입장 및 관람']
g_g000726,"['단순 구경 / 산책 / 걷기', '취식']"
g_g000727,"['단순 구경 / 산책 / 걷기', '취식']"
g_g000729,['취식']
g_g000730,['취식']
g_g000732,['취식']
g_g000734,['취식']
g_g000735,"['단순 구경 / 산책 / 걷기', '취식']"
g_g000736,['단순 구경 / 산책 / 걷기']
g_g000742,['취식']
g_g000743,['취식']
g_g000747,['취식']
g_g000751,['취식']
g_g000754,['취식']
g_g000756,['취식']
g_g000758,['환승/경유']
g_g000769,['취식']
g_g000770,['취식']
g_g000773,['취식']
g_g000775,['취식']
g_g000776,['체험 활동 / 입장 및 관람']
g_g000777,"['단순 구경 / 산책 / 걷기', '취식']"
g_g000779,"['단순 구경 / 산책 / 걷기', '취식', '휴식']"
g_g000781,"['단순 구경 / 산책 / 걷기', '체험 활동 / 입장 및 관람']"
g_g000782,['취식']
g_g000784,['취식']
g_g000785,['취식']
g_g000786,['취식']
g_g000788,"['취식', '휴식']"
g_g000789,['취식']
g_g000790,['단순 구경 / 산책 / 걷기']
g_g000792,['취식']
g_g000794,['취식']
g_g000796,['취식']
g_g000804,['취식']
g_g000807,['취식']
g_g000808,['취식']
g_g000809,['취식']
g_g000812,['단순 구경 / 산책 / 걷기']
g_g000815,['취식']
g_g000818,['휴식']
g_g000819,"['쇼핑 / 구매', '취식', '휴식']"
g_g000820,['취식']
g_g000826,['체험 활동 / 입장 및 관람']
g_g000831,['단순 구경 / 산책 / 걷기']
g_g000832,['취식']
g_g000834,['단순 구경 / 산책 / 걷기']
g_g000836,['취식']
g_g000842,['체험 활동 / 입장 및 관람']
g_g000848,"['단순 구경 / 산책 / 걷기', '취식']"
g_g000859,['취식']
g_g000861,['취식']
g_g000862,['취식']
g_g000864,['쇼핑 / 구매']
g_g000866,['취식']
g_g000867,['단순 구경 / 산책 / 걷기']
g_g000869,['취식']
g_g000871,['취식']
g_g000875,['체험 활동 / 입장 및 관람']
g_g000880,"['취식', '휴식']"
g_g000881,['취식']
g_g000883,['휴식']
g_g000892,['취식']
g_g000898,['취식']
g_g000899,['단순 구경 / 산책 / 걷기']
g_g000901,"['단순 구경 / 산책 / 걷기', '체험 활동 / 입장 및 관람', '취식']"
g_g000902,['환승/경유']
g_g000906,['취식']
g_g000907,['취식']
