TRAVEL_ID,ADV_NM,TOTAL_ADV_WON
g_g003570,['아쿠아슈즈; 물총; 과자'],12000
g_g003572,['청풍호 관광 모노레일 탑승권'],24000
g_g003576,['삼겹살;목살; 술;밥;음료; 닭꼬치; 버섯;야채'],100220
g_g003583,['스노쿨링장비'],31800
g_g003586,['과일; 간식거리'],15000
g_g003623,['숙박에 필요한 음식'],15500
g_g003665,['물놀이용품'],70000
g_g003718,['간식'],10600
g_g003807,['부탄'],34338
g_g003810,['옷'],56600
g_g003821,['온천수영장입장권'],46920
g_g003871,['공연티켓'],165000
g_g003874,"['교통비 (서울 남부시외버스터미널 - 부여시외버스터미널)', '교통비 (서울 남부시외버스터미널 - 부여시외버스터미널)']",36000
g_g003906,['주유'],20000
g_g003956,['국립중앙과학관 천체관 관람'],6000
g_g003965,['칫솔 치약'],10000
g_g003990,['고속버스 티켓'],24400
g_g004025,['차에서먹을 점시및 간식거리'],9500
g_g004066,['아침식사나 간식'],94210
g_g004101,['군산지역상품권(모바일)'],63000
g_g004103,['숙박비'],90000
g_g004139,['야채 과일 고기'],227860
g_g004152,['고기 상추 쌈장 부탄 가스 술 음료수 과자'],82460
g_g004231,['음료수'],6500
g_g004239,['물'],950
g_g004318,"['거기 야채 쌈장 꼬치 술 라면 묵사발 김치 커피 얼음컵', '거기 야채 쌈장 꼬치 술 라면 묵사발 김치 커피 얼음컵', '거기 야채 쌈장 꼬치 술 라면 묵사발 김치 커피 얼음컵']",132060
g_g004329,"['콘서트관람권', '콘서트관람권']",110000
g_g004380,['주유'],50000
g_g004398,['주유비'],50000
g_g004420,"['Itx 왕복권 (서울-천안)', 'Itx 왕복권 (서울-천안)']",18600
g_g004446,['물'],1000
g_g004492,['전주동물원'],6000
g_g004516,['커피'],5000
g_g004538,['야구장 입장권'],26000
g_g004556,['버스 티켓'],12600
g_g004578,['고기 채소 새우'],73630
g_g004621,['식료품'],200000
g_g004622,['감자탕 식사'],39000
g_g004701,['과일;소고기;과자;음료'],95000
g_g004723,"['고속버스 승차권', '고속버스 승차권']",41320
g_g004740,['케이크'],26000
g_g004822,"['빵 커피', '빵 커피']",11500
g_g004839,['도시락'],11000
g_g004906,['닭강정'],12000
g_g004955,"['고속버스티켓', '고속버스티켓']",217200
g_g004977,['쿠팡 이용하여 방울토마토'],8370
g_g005034,['영화표'],30000
g_g005080,['수영복'],17500
g_g005094,['고기ㆍ김밥ㆍ일회용품등'],327340
g_g005243,['여수 아쿠아플라넷+해상케이블카 티켓'],89000
g_g005250,['와인'],52000
g_g005282,['와인'],38100
g_g005297,['음료 및 계란'],11970
g_g005303,['소고기'],117400
g_g005377,['음식'],36440
g_g005391,['물/과일'],13100
g_g005400,['고기;숯;불판'],42160
g_g005554,['영화표 예매'],36000
g_g005572,['라면;술;고기 등'],105000
g_g005581,['음료'],8000
g_g005601,['<팬텀싱어4> 콘서트 티켓'],154000
g_g005704,['케이크'],20000
g_g005709,['요트투어'],59000
g_g005745,['패러글라이딩 예약금'],89000
g_g005791,"['기차표', '기차표']",35700
g_g005794,"['식비(계곡에서 먹을 점심과 간식)', '식비(계곡에서 먹을 점심과 간식)']",46100
g_g005795,['김밥'],10300
g_g005808,['팔튜브'],6000
g_g005812,['물안경'],23000
g_g005899,['고속버스 승차권'],62400
g_g005967,['밥'],7700
g_g005975,['식료품;주류등'],58030
g_g006027,['방수팩 2개'],10000
g_g006061,['주유'],37000
g_g006092,"['과자 음료수 방수팩', '과자 음료수 방수팩']",15500
g_g006096,['공연티켓'],35200
g_g006163,['돈마호크; 항정살; 볼살; 라면; 간식 등'],100000
g_g006190,['전북투어패스'],23600
g_g006201,"['버스표', '버스표']",26300
g_g006227,['장보기'],107120
g_g006265,['휴대용선풍기'],19900
g_g006414,['고무장갑 모종삽 팔토시'],8000
g_g006460,"['기차 티켓', '기차 티켓', '기차 티켓']",127700
g_g006468,['소노벨 오션어드벤쳐 입장권'],72000
g_g006496,['친척 한국야쿠르트이용권'],85000
g_g006523,['식료품'],240000
g_g006677,['주유'],50000
g_g006777,['삼겹살'],36990
g_g006807,['야구관람'],40500
g_g006842,['술 음료외'],100000
g_g006921,['라마다짚트랙예약권'],56000
g_g006971,"['기차승차권', '기차승차권', '기차승차권']",42600
g_g007120,['간식(빵)'],12500
g_g007152,['야구티켓'],15500
g_g007209,['바베큐 재료구매'],24860
g_g007215,['음식'],103600
g_g007231,['삼겹살; 콜라; 버섯모듬'],31660
g_g007330,['주유(경유)'],50000
g_g007348,"['기차표 (ITX)', '기차표 (ITX)']",32000
g_g007364,['약과 및 호두정과'],15000
g_g007373,['빵 등 식비'],87200
g_g007374,['티켓'],96000
g_g007386,['커피'],10100
g_g007389,['출발 전날주유소방문'],60000
g_g007515,['과자 음료수'],11600
g_g007536,"['먹을것들을 구매하여 먹었음', '먹을것들을 구매하여 먹었음', '먹을것들을 구매하여 먹었음', '먹을것들을 구매하여 먹었음', '먹을것들을 구매하여 먹었음']",48600
g_g007537,['일회용품'],4000
g_g007538,['반지'],80000
g_g007690,['옷'],49780
g_g007704,['음료; 커피 및 간식'],22300
g_g007765,['아이스 커피'],3000
g_g007776,['오월드 일년정기권 입장티켓'],240000
g_g007786,"['고속버스', '고속버스']",18600
g_g007787,['커피;아이스초코'],12600
g_g007895,['휘발유 주유함'],30000
g_g008048,['모노레일 케이블카 예약'],44000
g_g008055,"['아쿠아리움 표 와 여수행 시외버스', '아쿠아리움 표 와 여수행 시외버스']",85600
g_g008368,['파라다이스스파도고 입장권'],51000
g_g008382,['아이들간식.음료수'],8260
g_g008520,['보조배터리'],24000
g_g008603,['꽃다발'],38000
g_g008664,['식당 예약'],20000
g_g008781,['시외버스 표'],7200
g_g008798,['워터파크 무료이용권'],70000
g_g009114,['커피'],22900
g_g009161,['대전와인축제 티켓'],14300
g_g009194,['간식거리'],30170
g_g009630,['맥도날드 맥모닝 2개'],7200
g_g009661,['삼각대'],29800
g_g009732,['버스표 예매'],7900
g_g009783,['야구 경기 입장권'],45000
g_g009815,['렌터카 캐스퍼'],55190
g_g009819,['아이스커피'],4500
g_g009858,['광주에서 전주가는 버스표 와 전주에서 광주가는 버스표'],38800
g_g009879,['고속 버스표'],33800
g_g009913,['바닐라라떼'],8500
g_g009973,['커피'],2600
g_g010037,['버스표'],8600
g_g010218,['수생식물학습원 입장권'],24000
g_g010224,['파라프라 입장권'],112000
g_g010282,['농구관람티켓'],44000
g_g010348,['대전엑스포아쿠아리움 입장권'],49800
g_g010391,['스플라스 리솜 워터파크 입장권'],78000
g_g010430,['금호화순아쿠아나 예매권'],68000
g_g010442,['화장품'],21200
g_g010483,['아르떼뮤지엄 입장권'],34000
g_g010552,['간식'],14400
g_g010703,"['서울-부여 시외버스 예약', '서울-부여 시외버스 예약']",37800
g_g010717,['헛개수 차'],3000
g_g010776,['과자'],2500
g_g010807,['LPG 충전소에 들러 충전 완료 후 출발하였습니다!'],13762
g_g010860,['요거트2개 편의점커피'],5700
g_g010939,['커피및음료구입'],16600
g_g011053,"['기차표', '기차표']",43800
g_g011078,['아쿠아리움 입장표'],48500
g_g011105,['물 커피'],10000
g_g011162,['KTX'],0
g_g011212,['주유'],70000
g_g011254,['주유'],61000
g_g011300,['셀카봉'],5000
g_g011370,['여수음악회 티켓'],64000
g_g011398,['과자'],1500
g_g011454,['글램핑 예약'],30000
g_g011461,['주유'],30000
g_g011473,['전주패스'],23600
g_g011482,['과자 음료 물'],46770
g_g011508,['기름'],60000
g_g011509,['대전와인엑스포 입장권'],40000
g_g011522,['김밥'],3000
g_g011530,['샌드위치'],28300
g_g011537,['구운 주먹밥'],19040
g_g011551,['음식 및 캠핑'],72000
g_g011597,['물.커피'],3000
g_g011631,['동행자 시외버스표'],12900
g_g011636,['고속버스 좌석예매'],12800
g_g011673,"['점심대용 간식 구매/  딸기바나나 구매', '점심대용 간식 구매/  딸기바나나 구매']",23000
g_g011674,['휘발유 주유'],50000
g_g011692,['고구마말랭이; 에너지바 등 간식'],15000
g_g011717,['과자 등 간식류'],13590
g_g011722,['주유'],60000
g_g011724,['버스표'],18900
g_g011791,['에그볼(빵)'],14230
g_g011830,['전북투어패스남원춘향여행권'],4900
g_g011837,['기차표'],12800
g_g011841,['물 간단 취식음료'],9100
g_g011851,['편의점 미숫가루 음료'],1500
g_g011873,['자동차 연료 일부 미리 채움'],50000
g_g011903,"['고속버스', '고속버스']",22800
g_g011914,['음료'],16200
g_g011924,['가스충전'],38000
g_g011926,"['기차표', '기차표']",27600
g_g011934,['버스표'],17800
g_g011944,"['시외버스 이용비', '시외버스 이용비']",24000
g_g011950,['무궁화호 기차표'],10800
g_g011952,"['버스표', '버스표']",19400
g_g011966,['기름값'],30000
g_g012155,['커피'],3600
g_g012160,['과일. 물'],11000
g_g012162,['커피 및 음료 간식'],13500
g_g012192,['우비'],3000
g_g012197,['커피'],3000
g_g012199,['음료수'],9000
g_g012209,['엔진오일'],10000
g_g012226,['광주 디자인 비엔날레 티켓'],12000
g_g012228,"['항공권', '항공권', '항공권', '항공권']",108200
g_g012282,['샌드위치'],13600
g_g012304,['흑백 사진관 예약'],20000
g_g012326,['기차표'],92800
g_g012337,['커피 및 토스트'],16100
g_g012382,['고속버스 티켓'],9300
g_g012410,['한화이글스 야구 티켓(아들이 예약해줌)'],17000
g_g012433,"['고속버스 승차권', '고속버스 승차권']",33000
g_g012439,['루꼴라 샌드위치; BLT 샌드위치; 아이스아메리카노'],17300
g_g012455,['김밥 3줄'],12900
g_g012458,['버스 승차권'],27200
g_g012478,['과자'],144910
g_g012531,['음료수(하늘보리)'],3000
g_g012679,['경유'],10000
g_g012682,['소화제'],3000
g_g012697,['전과 나물'],20000
g_g012727,['커피 한 잔'],3200
g_g012783,['공연 티켓'],63000
g_g012805,['주유'],29618
g_g012990,['김밥'],8800
g_g013093,['생수. 요거트'],5420
g_g013114,['커피; 쥬스'],7800
g_g013125,['주유'],50000
